Number,Surname,GivenName,TelephoneNumber,Birthday
1,Laramée,Eloise,04.50.75.00.74,2/17/1950
2,Lalonde,Paige,01.46.52.71.97,3/31/1970
3,Marquis,Arber,03.85.27.84.82,8/29/1956
4,Sansouci,Cammile,04.36.72.02.72,9/20/1949
5,Beauchemin,Fauna,02.42.38.17.74,9/6/1969
6,Vaillancourt,Warrane,04.77.05.88.13,6/4/1977
7,Sylvain,Patrick,01.52.93.63.03,1/7/1939
8,Archambault,Alice,04.87.82.23.59,12/23/1988
9,Chesnay,Théophile,01.25.86.32.52,7/19/1960
10,Béland,Romain,01.01.38.19.42,3/16/1972
11,Laberge,Sidney,05.46.77.29.89,4/17/2000
12,Couturier,Alacoque,04.93.39.80.95,2/4/1985
13,Gour,Mandel,03.22.36.11.96,8/10/1957
14,Béland,Lucas,01.51.19.23.18,4/10/1953
15,Sorel,Bradamate,01.38.64.77.35,5/4/1946
16,Carignan,Mirabelle,05.11.75.08.40,1/13/1982
17,Lebel,Jesper,02.84.44.38.46,5/14/1945
18,Bler,Sargent,01.70.97.31.58,4/24/1992
19,Émond,Searlas,02.61.62.67.53,3/30/1947
20,Fongemie,Marcel,01.29.76.60.71,7/6/1968
21,Couture,Odo,04.49.07.08.67,3/18/1946
22,Busson,Yves,04.38.70.89.53,3/23/1993
23,Paradis,Fifine,01.99.09.47.23,8/4/1946
24,Bourgouin,Brice,05.95.38.72.82,8/27/1989
25,Thibault,Martine,01.80.26.94.42,6/18/1997
26,Beaulieu,Cher,03.87.36.27.09,12/14/1979
27,Noël,Arno,01.95.67.76.53,7/11/1954
28,Tougas,Cendrillon,03.40.65.47.09,10/8/1964
29,Martel,Burkett,04.19.38.86.41,2/25/1941
30,Morin,Aceline,04.45.56.99.38,3/28/1955
31,Houde,Minette,04.42.72.07.14,2/22/1965
32,Goudreau,Maurelle,03.70.21.38.57,8/23/1958
33,Bourget,Tanguy,02.37.00.90.09,10/30/1980
34,Busson,Huette,05.28.39.70.03,2/24/1982
35,Lafond,Benjamin,01.90.98.54.33,2/1/1998
36,Lessard,Odette,05.20.09.81.44,3/30/1973
37,Berger,Roch,03.74.27.12.28,4/1/1995
38,Deserres,Blondelle,01.23.01.90.27,5/1/1938
39,Pellerin,Louise,04.99.15.22.74,1/27/2002
40,Mathieu,Voleta,04.69.15.48.47,12/21/1982
41,Mailloux,Peverell,02.91.20.11.31,4/5/1999
42,Lécuyer,Marcelle,01.55.18.78.98,1/2/1992
43,Migneault,Sébastien,05.85.23.03.44,7/27/1954
44,Drouin,Lundy,04.31.03.88.59,9/29/1970
45,Riel,Rule,04.14.60.41.50,8/23/1952
46,Coulombe,Louise,01.91.50.91.49,9/4/1970
47,Margand,Christophe,03.87.16.05.48,11/18/1952
48,Bilodeau,Patrice,03.35.67.34.87,1/21/1968
49,Langlais,Fitz,04.03.02.76.46,5/21/1944
50,Roussel,Mallory,01.68.34.39.00,2/15/1955
